@relation CommentsInstances

@attribute content string
@attribute class {1,0}

@data
'   the drudge reportyou won t see this story on foxfag forum because they suck biacks and gay bama all the way to the crack on tuesday rep  darrell issa  chairman of the house committee on oversight and government reform  took a major step toward holding attorney general eric holder in contempt of congress for his failure to provide subpoenaed documents and other information about operation fast and furious in a jan   letter  issa had threatened holder with such a move if he failed to provide all the subpoenaed documents relating to the fast and furious gunwalking scandal by feb    that deadline has come and gone  and holder   s department of justice still hasn   t provided most of those documents  issa   s subpoena dates back to oct     on tuesday in a sevenpage letter  issa revealed that deputy attorney general james cole begged congress to extend the feb   deadline  issa wrote that the request was    ironic    and    ignores the reality that the department has unreasonably delayed producing these documents to the committee       on its face  the requested extension demonstrates a lack of good faith     issa wrote to holder     with one exception  the department has only produced documents responsive to the subpoena on the eve of congressional hearings in which senior department officials testified  the department appears to be more concerned with protecting its image through spin control than actually cooperating with congress       we cannot wait any longer for the department   s cooperation     issa continued     as such  please specify a date by which you expect the department to produce all documents responsive to the subpoena  in addition  please specify a department representative who will interface with the committee for production purposes    issa added that whoever holder designates as the goto doj official for delivering subpoenaed documents    should also serve as the conduit for dealing with the contempt proceedings  should the department continue to ignore the committee   s subpoena      related  full coverage of eric holder the california republican slammed holder  too  for claiming the congressional investigation into fast and furious was a political game for republicans read more  http   dailycaller com    issatakessteptowardholdingholderincontemptofcongress ixzzmqnfg    ',1
'    ian   roger clemens is the fucking man  and never did any fucking steroids because he is fucking awesome  did you all misremember roger s incredibleness     roger clemens    ',1
'   agree with alan you are an extremest idiot    you are not american  we native americans are  you are an alien    ',0
'   really i see marc lamont hill on various programs quite often  as is al sharpton  and michael moore even got his fatass handed to him by bill o reilly   how can you talk about a subject you obviously know nothing about     ',1
'   really suck isn t the word  when many of our nuclear power plants start melting down  it will literally be hell on earth in the us and we have no one else to blame but our own corrupt government     ',1
'      after a couple guys like him rape him first        ',1
'   matthews mentored perry at usc   bodes well       ',1
'   how about we accept facts and patiently wait for you to back up your claim     ',1
'   to engage in an intelligent debate with you is like debating to a retarded person   it s useless   it looks like you re bent on disregarding the efforts of the government     ',0
'   same reason no one cared obama did cocaine  which is a felony as well     ',1
'   well  kris  you might just be surprised  can you say reagan democrats  romney has a grasp of reality and the economy and the real world business experience to know what is needed to pull america out of the ditch and back on the highway of economic growth and lowering the national debt of which obama has contributed more in    years than gw bush did in  years  unemployment is over  and gdp is less than  and obama says the economy is doing just fine  he is in way over his head   it s called the peter principle   and no  that s not a dirty word   look it up      ',1
'   in reality gwb put more people on food stamps because of his  failed economic policies     ',1
'   because the zionists will blow us up if we don t at least try     ',1
'   thank you   unfortunately on this kindle i m limited on how far back i can go     ',1
'   cnn supports harcore mass murdering islamist terrorists    donut ever forget this guys     ',1
'   what is your problem aw    ',1
'   name a corporation that has told the truth     ',1
'   you know  i don t think i ever actually put my gloves in the glove box       ',1
'   then they shouldnt get mad when they read it     ',1
'   richards passes it to carter   wow   surprising    ',1
'   i m a second generation german working on my master s   so i doubt you would be accurate in saying that i am a ignorant rube who can t get over the civil war  what i can t get over is selfrighteous priks such as yourself who are uniquely qualified praise or condemn others values strictly based on your personal   enlightened   opinion ps if i knew is was writting my thesis for you to critique i would have been more careful to meet your loft grammatical standards now go blow yourself     ',1
